Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceRating,PerformanceResult
Main labor group,Female,Divorced,5,Life Sciences,Developer,2,3,3,7,0,3,Meet Expectation
Old labor group,Male,Married,4,Marketing,Manager,3,1,4,34,6,5,Outstanding
Main labor group,Male,Single,4,Other,Developer,4,3,2,10,9,3,Meet Expectation
Main labor group,Female,Single,1,Medical,Sales Executive,3,2,2,6,5,5,Outstanding
Middle-aged labor group,Male,Single,2,Technical Degree,Sales Representative,2,1,3,9,7,3,Meet Expectation
Young labor group,Male,Single,1,Medical,Developer,1,4,3,2,2,3,Meet Expectation
Middle-aged labor group,Female,Single,2,Life Sciences,Sales Executive,2,4,3,8,4,3,Meet Expectation
Main labor group,Male,Single,3,Other,Sales Executive,4,3,3,6,5,4,Exceed Expectation
Main labor group,Male,Single,4,Life Sciences,Sales Executive,1,2,3,10,7,3,Meet Expectation
Old labor group,Male,Married,4,Medical,Developer,4,1,3,5,3,3,Meet Expectation
Main labor group,Female,Divorced,2,Life Sciences,Developer,1,1,3,5,2,3,Meet Expectation
Main labor group,Female,Married,3,Medical,Developer,2,1,2,11,7,3,Meet Expectation
Main labor group,Male,Single,3,Technical Degree,Sales Executive,4,3,2,6,3,3,Meet Expectation
Main labor group,Female,Single,4,Life Sciences,Developer,2,3,3,10,2,3,Meet Expectation
Old labor group,Female,Divorced,4,Medical,Developer,4,2,3,9,3,3,Meet Expectation
Main labor group,Male,Married,1,Marketing,Sales Executive,3,2,3,5,2,3,Meet Expectation
Main labor group,Female,Divorced,1,Life Sciences,Developer,4,2,2,6,3,3,Meet Expectation
Main labor group,Female,Single,4,Life Sciences,Developer,1,4,3,17,7,3,Meet Expectation
Main labor group,Female,Single,4,Medical,Developer,3,3,3,6,5,3,Meet Expectation
Main labor group,Female,Married,4,Life Sciences,Sales Representative,1,2,2,3,2,3,Meet Expectation
Main labor group,Female,Married,2,Medical,Developer,3,4,3,8,7,4,Exceed Expectation
Main labor group,Female,Married,2,Life Sciences,Sales Executive,3,2,3,6,2,3,Meet Expectation
Young labor group,Male,Divorced,3,Life Sciences,Senior Developer,3,3,3,1,0,3,Meet Expectation
Old labor group,Female,Married,4,Life Sciences,Senior Developer,4,2,3,9,2,4,Exceed Expectation
Middle-aged labor group,Male,Married,3,Medical,Developer,3,4,3,30,3,3,Meet Expectation
Main labor group,Female,Married,2,Life Sciences,Developer,2,4,3,1,0,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Developer,3,4,4,14,9,3,Meet Expectation
Main labor group,Female,Single,3,Marketing,Sales Executive,1,3,3,6,2,3,Meet Expectation
Middle-aged labor group,Female,Married,2,Other,Developer,3,3,2,26,14,3,Meet Expectation
Main labor group,Female,Married,3,Other,Developer,3,1,3,10,7,3,Meet Expectation
Main labor group,Male,Married,2,Life Sciences,Senior Developer,3,3,3,10,7,4,Exceed Expectation
Main labor group,Female,Single,4,Life Sciences,Senior Developer,4,3,3,7,2,3,Meet Expectation
Middle-aged labor group,Female,Married,2,Life Sciences,Developer,4,4,3,8,3,3,Meet Expectation
Main labor group,Male,Single,4,Medical,Developer,3,4,2,5,2,3,Meet Expectation
Main labor group,Male,Married,3,Human Resources,Human Resources,3,2,3,8,2,3,Meet Expectation
Main labor group,Male,Single,4,Medical,Developer,1,4,3,10,0,3,Meet Expectation
Main labor group,Female,Single,3,Medical,Developer,3,2,2,12,0,5,Outstanding
Middle-aged labor group,Female,Single,3,Life Sciences,Developer,2,4,3,1,0,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Life Sciences,Developer,2,4,2,10,8,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Developer,1,3,2,13,3,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Marketing,Sales Executive,3,1,4,9,8,3,Meet Expectation
Old labor group,Male,Single,1,Medical,Sales Executive,3,3,2,12,7,3,Meet Expectation
Middle-aged labor group,Male,Married,2,Life Sciences,Developer,2,3,3,22,1,3,Meet Expectation
Main labor group,Male,Divorced,1,Technical Degree,Developer,3,2,3,9,8,3,Meet Expectation
Main labor group,Male,Single,3,Other,Developer,3,2,4,17,5,5,Outstanding
Main labor group,Female,Married,4,Marketing,Sales Executive,2,1,3,8,7,3,Meet Expectation
Main labor group,Female,Married,2,Medical,Developer,3,1,3,8,7,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Developer,4,3,2,0,0,3,Meet Expectation
Old labor group,Female,Married,4,Marketing,Manager,1,3,2,29,6,3,Meet Expectation
Middle-aged labor group,Male,Single,3,Medical,Developer,4,4,2,10,2,3,Meet Expectation
Main labor group,Male,Single,1,Medical,Developer,1,3,2,6,3,3,Meet Expectation
Main labor group,Female,Single,1,Medical,Senior Developer,3,4,2,6,5,3,Meet Expectation
Main labor group,Male,Married,2,Life Sciences,Sales Executive,2,4,2,18,14,3,Meet Expectation
Old labor group,Female,Married,2,Marketing,Sales Executive,1,4,3,35,2,3,Meet Expectation
Middle-aged labor group,Male,Divorced,3,Marketing,Sales Executive,4,3,3,18,4,3,Meet Expectation
Main labor group,Female,Married,2,Medical,Developer,3,3,2,9,3,3,Meet Expectation
Main labor group,Male,Divorced,4,Marketing,Sales Executive,4,4,3,9,0,3,Meet Expectation
Main labor group,Male,Divorced,2,Medical,Human Resources,2,4,3,6,1,3,Meet Expectation
Young labor group,Male,Married,2,Life Sciences,Senior Developer,4,1,1,4,2,3,Meet Expectation
Middle-aged labor group,Male,Married,4,Life Sciences,Developer,1,3,2,10,2,3,Meet Expectation
Middle-aged labor group,Male,Single,1,Medical,Senior Developer,2,4,3,8,1,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Human Resources,1,3,3,6,4,3,Meet Expectation
Main labor group,Male,Married,1,Other,Sales Executive,3,4,3,5,3,3,Meet Expectation
Main labor group,Female,Divorced,4,Life Sciences,Developer,4,1,2,10,2,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Developer,4,2,3,4,0,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Technical Degree,Data Scientist,3,2,3,7,2,3,Meet Expectation
Young labor group,Male,Married,1,Life Sciences,Senior Developer,1,4,2,6,2,3,Meet Expectation
Main labor group,Male,Married,2,Life Sciences,Sales Executive,2,4,3,10,8,3,Meet Expectation
Main labor group,Male,Married,3,Marketing,Sales Representative,2,4,3,3,2,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Senior Developer,4,2,3,8,4,3,Meet Expectation
Old labor group,Male,Married,3,Marketing,Sales Executive,1,3,3,28,0,3,Meet Expectation
Main labor group,Female,Married,2,Medical,Sales Representative,3,2,3,10,4,3,Meet Expectation
Old labor group,Female,Single,4,Life Sciences,Developer,4,3,3,33,9,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Life Sciences,Developer,4,2,2,12,2,3,Meet Expectation
Middle-aged labor group,Female,Married,2,Marketing,Sales Executive,3,1,3,8,6,4,Exceed Expectation
Main labor group,Male,Single,2,Medical,Sales Executive,1,4,3,10,0,3,Meet Expectation
Middle-aged labor group,Male,Divorced,4,Life Sciences,Developer,1,4,3,31,6,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Human Resources,4,3,3,13,4,3,Meet Expectation
Main labor group,Male,Divorced,2,Human Resources,Human Resources,4,3,4,7,3,3,Meet Expectation
Main labor group,Male,Single,4,Life Sciences,Developer,1,3,1,1,0,3,Meet Expectation
Middle-aged labor group,Male,Married,2,Life Sciences,Developer,2,4,3,8,7,3,Meet Expectation
Old labor group,Male,Divorced,1,Life Sciences,Developer,4,4,2,3,0,3,Meet Expectation
Young labor group,Female,Single,3,Medical,Sales Representative,3,4,2,2,2,3,Meet Expectation
Young labor group,Female,Single,1,Other,Data Scientist,4,1,2,1,0,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Data Scientist,3,1,2,17,8,3,Meet Expectation
Middle-aged labor group,Female,Single,4,Life Sciences,Sales Representative,4,1,2,3,2,3,Meet Expectation
Young labor group,Female,Married,1,Life Sciences,Developer,2,1,4,4,2,3,Meet Expectation
Main labor group,Female,Divorced,3,Medical,Developer,3,2,3,6,2,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Senior Developer,4,4,1,8,2,3,Meet Expectation
Main labor group,Female,Single,3,Life Sciences,Developer,2,3,3,1,1,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Developer,2,2,3,1,0,3,Meet Expectation
Middle-aged labor group,Female,Single,2,Medical,Sales Executive,3,1,3,10,4,3,Meet Expectation
Main labor group,Male,Single,4,Other,Senior Developer,3,2,3,6,2,3,Meet Expectation
Old labor group,Female,Divorced,3,Technical Degree,Senior Developer,3,4,3,24,0,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Sales Representative,2,2,4,13,7,3,Meet Expectation
Main labor group,Female,Married,1,Life Sciences,Senior Developer,4,4,1,10,6,3,Meet Expectation
Middle-aged labor group,Male,Married,4,Medical,Data Scientist,4,1,2,13,0,3,Meet Expectation
Main labor group,Female,Married,2,Marketing,Sales Executive,4,4,2,9,8,3,Meet Expectation
Main labor group,Male,Single,4,Other,Developer,2,3,3,8,2,3,Meet Expectation
Main labor group,Female,Married,3,Technical Degree,Senior Developer,4,2,3,15,12,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Senior Developer,3,3,3,5,0,4,Exceed Expectation
Main labor group,Male,Married,2,Marketing,Sales Representative,3,3,3,1,0,3,Meet Expectation
Middle-aged labor group,Male,Single,3,Medical,Developer,4,3,3,20,13,3,Meet Expectation
Main labor group,Male,Single,4,Medical,Developer,3,3,3,16,8,4,Exceed Expectation
Young labor group,Male,Single,3,Other,Sales Representative,4,2,4,1,0,3,Meet Expectation
Young labor group,Male,Single,3,Technical Degree,Developer,1,2,3,1,0,3,Meet Expectation
Main labor group,Female,Married,3,Medical,Developer,4,3,1,10,7,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Sales Executive,3,1,3,16,7,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Sales Executive,1,3,1,17,1,1,Does not Meet Minimum
Middle-aged labor group,Male,Married,2,Life Sciences,Developer,3,2,2,9,7,3,Meet Expectation
Main labor group,Female,Married,3,Technical Degree,Sales Representative,3,2,3,3,1,3,Meet Expectation
Main labor group,Female,Married,3,Medical,Sales Executive,3,2,3,5,2,3,Meet Expectation
Old labor group,Male,Married,2,Life Sciences,Senior Developer,4,2,2,26,8,3,Meet Expectation
Old labor group,Male,Divorced,2,Medical,Manager,3,3,4,22,13,3,Meet Expectation
Main labor group,Male,Divorced,2,Other,Sales Executive,3,1,4,10,4,3,Meet Expectation
Main labor group,Male,Divorced,4,Life Sciences,Sales Executive,4,2,3,12,9,3,Meet Expectation
Main labor group,Male,Single,5,Life Sciences,Sales Executive,1,4,3,9,7,3,Meet Expectation
Main labor group,Female,Single,3,Life Sciences,Sales Executive,2,4,2,22,0,3,Meet Expectation
Middle-aged labor group,Male,Divorced,4,Medical,Senior Developer,3,3,4,20,10,3,Meet Expectation
Main labor group,Male,Divorced,4,Technical Degree,Sales Executive,1,4,3,12,7,3,Meet Expectation
Main labor group,Male,Single,2,Medical,Developer,3,1,3,4,2,4,Exceed Expectation
Main labor group,Male,Single,3,Life Sciences,Manager,4,4,3,10,8,3,Meet Expectation
Main labor group,Female,Single,3,Life Sciences,Developer,4,3,3,3,0,4,Exceed Expectation
Main labor group,Female,Single,1,Life Sciences,Developer,2,1,3,5,2,3,Meet Expectation
Middle-aged labor group,Female,Divorced,4,Medical,Developer,4,4,3,8,3,3,Meet Expectation
Middle-aged labor group,Male,Divorced,2,Medical,Senior Developer,4,3,2,32,4,5,Outstanding
Main labor group,Female,Married,4,Other,Developer,3,1,3,6,5,3,Meet Expectation
Middle-aged labor group,Male,Divorced,3,Medical,Developer,1,2,4,21,16,3,Meet Expectation
Middle-aged labor group,Male,Married,2,Life Sciences,Developer,4,3,3,9,8,3,Meet Expectation
Middle-aged labor group,Female,Single,2,Life Sciences,Sales Executive,4,3,3,9,0,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Developer,1,2,3,7,2,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Life Sciences,Developer,4,4,3,22,11,3,Meet Expectation
Main labor group,Male,Married,1,Medical,Senior Manager R&D,3,2,2,3,1,3,Meet Expectation
Main labor group,Male,Divorced,4,Other,Laboratory Technician,3,4,1,5,2,3,Meet Expectation
Main labor group,Female,Married,1,Life Sciences,Manufacturing Director,3,3,3,4,3,3,Meet Expectation
Young labor group,Male,Single,2,Life Sciences,Research Scientist,2,4,3,0,0,3,Meet Expectation
Old labor group,Female,Married,3,Technical Degree,Senior Manager R&D,3,3,3,22,7,3,Meet Expectation
Main labor group,Female,Divorced,4,Medical,Healthcare Representative,3,3,2,16,10,3,Meet Expectation
Main labor group,Female,Married,2,Life Sciences,Research Director,2,3,2,9,7,2,Needs Improvement
Main labor group,Male,Married,2,Medical,Senior Manager R&D,4,2,3,8,7,3,Meet Expectation
Young labor group,Male,Married,1,Life Sciences,Laboratory Technician,2,1,2,4,3,1,Does not Meet Minimum
Middle-aged labor group,Male,Single,3,Life Sciences,Healthcare Representative,1,4,3,19,2,1,Does not Meet Minimum
Middle-aged labor group,Male,Single,4,Life Sciences,Senior Manager R&D,3,2,3,27,11,3,Meet Expectation
Middle-aged labor group,Female,Single,2,Medical,Manufacturing Director,4,2,3,8,2,3,Meet Expectation
Main labor group,Female,Married,1,Life Sciences,Manufacturing Director,4,3,3,21,6,3,Meet Expectation
Main labor group,Female,Married,4,Life Sciences,Senior Manager R&D,1,2,3,4,2,1,Does not Meet Minimum
Main labor group,Male,Divorced,3,Other,Laboratory Technician,2,1,2,3,2,1,Does not Meet Minimum
Middle-aged labor group,Male,Married,2,Marketing,Manager,4,2,4,21,0,4,Exceed Expectation
Middle-aged labor group,Male,Married,3,Life Sciences,Laboratory Technician,1,2,3,8,0,3,Meet Expectation
Old labor group,Female,Single,3,Life Sciences,Manufacturing Director,3,1,3,30,3,3,Meet Expectation
Old labor group,Male,Married,4,Medical,Healthcare Representative,3,4,3,17,7,3,Meet Expectation
Middle-aged labor group,Female,Divorced,1,Life Sciences,Research Director,2,2,3,21,16,2,Needs Improvement
Main labor group,Male,Single,4,Life Sciences,Sales Executive,2,3,3,19,0,3,Meet Expectation
Main labor group,Male,Single,2,Medical,Sales Executive,2,4,3,7,2,1,Does not Meet Minimum
Old labor group,Female,Married,1,Marketing,Manager,1,4,3,33,14,2,Needs Improvement
Middle-aged labor group,Female,Married,3,Medical,Sales Executive,4,3,3,23,11,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Life Sciences,Sales Executive,4,1,3,19,7,3,Meet Expectation
Main labor group,Female,Single,3,Medical,Manufacturing Director,4,3,3,21,6,3,Meet Expectation
Main labor group,Female,Single,1,Life Sciences,Sales Representative,2,4,2,3,2,1,Does not Meet Minimum
Middle-aged labor group,Female,Married,2,Life Sciences,Manager,4,2,4,26,3,3,Meet Expectation
Main labor group,Female,Single,4,Medical,Senior Manager R&D,4,2,3,10,7,3,Meet Expectation
Main labor group,Male,Divorced,4,Marketing,Sales Executive,2,4,2,16,1,3,Meet Expectation
Old labor group,Male,Married,2,Technical Degree,Manager,2,3,1,14,4,3,Meet Expectation
Middle-aged labor group,Male,Single,4,Medical,Human Resources,2,1,3,6,3,3,Meet Expectation
Main labor group,Male,Divorced,3,Other,Laboratory Technician,1,2,2,9,0,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Research Scientist,1,2,3,6,2,1,Does not Meet Minimum
Main labor group,Male,Married,1,Medical,Sales Representative,4,2,3,1,0,4,Exceed Expectation
Main labor group,Male,Married,4,Other,Senior Manager R&D,3,1,3,8,2,3,Meet Expectation
Middle-aged labor group,Male,Married,4,Medical,Senior Manager R&D,2,4,2,29,1,3,Meet Expectation
Main labor group,Female,Single,3,Other,Healthcare Representative,4,1,2,8,3,3,Meet Expectation
Main labor group,Male,Married,3,Marketing,Sales Executive,3,2,2,8,7,3,Meet Expectation
Main labor group,Female,Divorced,1,Medical,Research Scientist,1,3,3,5,3,1,Does not Meet Minimum
Old labor group,Female,Married,4,Life Sciences,Sales Executive,3,2,3,13,4,3,Meet Expectation
Old labor group,Female,Married,3,Medical,Senior Manager R&D,1,2,3,18,4,3,Meet Expectation
Main labor group,Female,Single,5,Medical,Manufacturing Director,4,2,2,15,8,3,Meet Expectation
Old labor group,Male,Single,1,Medical,Manager,3,2,4,31,7,4,Exceed Expectation
Middle-aged labor group,Male,Divorced,3,Medical,Sales Executive,3,3,3,18,0,3,Meet Expectation
Young labor group,Female,Single,3,Marketing,Sales Representative,4,2,3,2,2,3,Meet Expectation
Young labor group,Female,Single,3,Life Sciences,Senior Manager R&D,3,1,2,1,0,3,Meet Expectation
Middle-aged labor group,Female,Divorced,4,Life Sciences,Senior Manager R&D,4,1,3,19,13,4,Exceed Expectation
Main labor group,Male,Single,2,Technical Degree,Senior Manager R&D,2,1,2,10,7,2,Needs Improvement
Main labor group,Male,Married,2,Medical,Laboratory Technician,1,1,3,6,3,1,Does not Meet Minimum
Main labor group,Male,Married,3,Other,Senior Manager R&D,3,3,2,7,2,3,Meet Expectation
Main labor group,Female,Married,1,Life Sciences,Healthcare Representative,3,1,2,20,9,3,Meet Expectation
Main labor group,Male,Married,4,Technical Degree,Senior Manager R&D,1,4,3,14,10,2,Needs Improvement
Main labor group,Male,Married,5,Life Sciences,Senior Manager R&D,1,4,3,3,2,1,Does not Meet Minimum
Old labor group,Male,Married,1,Life Sciences,Manager R&D,4,2,3,23,2,3,Meet Expectation
Middle-aged labor group,Male,Married,2,Medical,Human Resources,2,4,3,24,6,2,Needs Improvement
Main labor group,Female,Single,4,Medical,Research Scientist,1,2,3,14,7,2,Needs Improvement
Main labor group,Male,Single,1,Life Sciences,Healthcare Representative,1,3,2,7,2,3,Meet Expectation
Main labor group,Male,Married,1,Technical Degree,Manager R&D,4,2,4,7,7,3,Meet Expectation
Main labor group,Male,Divorced,3,Medical,Manager R&D,1,3,2,1,1,4,Exceed Expectation
Middle-aged labor group,Male,Married,2,Medical,Manager,4,4,3,23,6,3,Meet Expectation
Main labor group,Male,Divorced,3,Medical,Manager R&D,1,1,3,1,0,3,Meet Expectation
Middle-aged labor group,Male,Single,4,Other,Sales Executive,4,4,3,5,0,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Sales Executive,4,3,3,4,2,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Research Scientist,3,4,3,6,0,3,Meet Expectation
Middle-aged labor group,Male,Single,4,Medical,Manager R&D,1,3,2,27,4,2,Needs Improvement
Middle-aged labor group,Female,Married,4,Life Sciences,Sales Executive,2,4,3,15,10,2,Needs Improvement
Old labor group,Male,Single,4,Life Sciences,Healthcare Representative,2,4,3,18,6,2,Needs Improvement
Main labor group,Male,Divorced,4,Marketing,Sales Executive,3,2,3,9,7,3,Meet Expectation
Main labor group,Female,Divorced,4,Life Sciences,Manager R&D,3,1,3,11,5,4,Exceed Expectation
Main labor group,Female,Divorced,3,Medical,Manufacturing Director,4,2,2,10,7,3,Meet Expectation
Middle-aged labor group,Male,Married,1,Marketing,Manager,1,4,3,23,9,2,Needs Improvement
Main labor group,Male,Single,2,Marketing,Sales Executive,4,3,3,10,0,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Healthcare Representative,1,4,3,21,7,2,Needs Improvement
Main labor group,Male,Single,3,Medical,Manager R&D,3,1,4,21,7,3,Meet Expectation
Main labor group,Male,Single,3,Life Sciences,Laboratory Technician,3,3,2,9,4,3,Meet Expectation
Main labor group,Male,Single,4,Life Sciences,Manufacturing Director,1,1,3,18,9,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Sales Representative,3,1,3,3,2,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Manager R&D,1,1,1,6,3,3,Meet Expectation
Main labor group,Male,Divorced,2,Marketing,Sales Executive,4,4,3,5,2,3,Meet Expectation
Middle-aged labor group,Male,Married,4,Technical Degree,Sales Executive,4,2,3,22,8,3,Meet Expectation
Main labor group,Male,Single,2,Life Sciences,Manager R&D,4,4,2,5,2,3,Meet Expectation
Main labor group,Female,Divorced,3,Life Sciences,Research Scientist,4,4,2,8,5,3,Meet Expectation
Middle-aged labor group,Male,Single,3,Medical,Laboratory Technician,2,1,3,16,0,3,Meet Expectation
Main labor group,Male,Married,1,Medical,Manufacturing Director,2,3,2,10,7,2,Needs Improvement
Main labor group,Male,Divorced,3,Life Sciences,Research Scientist,3,4,3,3,1,3,Meet Expectation
Young labor group,Male,Single,1,Medical,Laboratory Technician,3,4,3,0,0,3,Meet Expectation
Main labor group,Female,Single,4,Marketing,Sales Executive,1,1,3,6,2,3,Meet Expectation
Middle-aged labor group,Male,Married,4,Life Sciences,Laboratory Technician,2,1,3,6,0,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Laboratory Technician,3,3,2,2,2,3,Meet Expectation
Main labor group,Female,Divorced,2,Medical,Healthcare Representative,3,3,3,9,2,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Research Scientist,4,3,3,4,2,3,Meet Expectation
Main labor group,Female,Married,1,Life Sciences,Sales Executive,2,1,2,6,5,2,Needs Improvement
Main labor group,Male,Single,4,Technical Degree,Human Resources,3,2,1,6,4,2,Needs Improvement
Main labor group,Female,Married,1,Life Sciences,Sales Executive,4,1,1,11,8,2,Needs Improvement
Main labor group,Female,Single,4,Medical,Research Director,2,3,2,20,7,2,Needs Improvement
Middle-aged labor group,Male,Single,3,Life Sciences,Sales Executive,3,2,2,22,9,3,Meet Expectation
Middle-aged labor group,Male,Single,4,Marketing,Sales Executive,2,4,4,9,4,4,Exceed Expectation
Young labor group,Male,Single,3,Medical,Laboratory Technician,4,4,3,6,3,4,Exceed Expectation
Main labor group,Female,Married,1,Life Sciences,Manager R&D,3,4,2,1,1,3,Meet Expectation
Main labor group,Male,Married,4,Medical,Manager R&D,1,2,3,8,7,3,Meet Expectation
Main labor group,Male,Married,3,Marketing,Sales Executive,3,1,3,10,3,3,Meet Expectation
Main labor group,Female,Married,2,Medical,Research Scientist,3,4,1,16,1,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Manufacturing Director,3,2,4,15,7,3,Meet Expectation
Main labor group,Male,Single,3,Medical,Healthcare Representative,4,3,3,14,9,5,Outstanding
Main labor group,Male,Married,4,Other,Laboratory Technician,4,2,4,2,2,3,Meet Expectation
Middle-aged labor group,Female,Single,3,Marketing,Sales Executive,1,2,2,7,3,2,Needs Improvement
Main labor group,Female,Divorced,1,Life Sciences,Sales Representative,3,3,3,1,0,3,Meet Expectation
Old labor group,Female,Divorced,4,Technical Degree,Manager,4,4,3,28,2,3,Meet Expectation
Main labor group,Female,Married,1,Medical,Manager R&D,2,1,3,10,8,3,Meet Expectation
Young labor group,Male,Single,2,Life Sciences,Research Scientist,3,3,3,1,1,4,Exceed Expectation
Middle-aged labor group,Female,Married,3,Medical,Manager R&D,1,3,2,7,2,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Manufacturing Director,4,2,2,14,8,3,Meet Expectation
Middle-aged labor group,Male,Single,4,Life Sciences,Manager R&D,3,3,3,6,4,3,Meet Expectation
Old labor group,Female,Divorced,2,Medical,Manager R&D,4,2,3,26,7,3,Meet Expectation
Young labor group,Male,Married,4,Life Sciences,Manager R&D,3,2,3,1,0,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Marketing,Manager,3,1,3,28,15,4,Exceed Expectation
Middle-aged labor group,Male,Single,3,Life Sciences,Research Scientist,4,4,3,6,0,3,Meet Expectation
Main labor group,Male,Married,3,Human Resources,Human Resources,2,4,3,5,4,2,Needs Improvement
Main labor group,Male,Divorced,4,Life Sciences,Sales Executive,3,3,3,8,3,3,Meet Expectation
Main labor group,Male,Married,4,Medical,Sales Executive,2,4,3,5,0,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Medical,Manager R&D,4,3,3,32,2,4,Exceed Expectation
Middle-aged labor group,Male,Married,2,Life Sciences,Manager R&D,4,1,3,25,2,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Sales Executive,3,4,3,15,7,3,Meet Expectation
Young labor group,Female,Married,2,Life Sciences,Laboratory Technician,4,1,1,1,0,3,Meet Expectation
Main labor group,Female,Married,3,Medical,Sales Executive,2,1,2,10,7,3,Meet Expectation
Main labor group,Male,Divorced,4,Life Sciences,Laboratory Technician,3,3,3,7,7,3,Meet Expectation
Middle-aged labor group,Male,Single,4,Other,Research Scientist,4,2,3,20,11,4,Exceed Expectation
Middle-aged labor group,Male,Married,5,Medical,Human Resources,4,1,4,10,3,4,Exceed Expectation
Main labor group,Female,Married,3,Other,Laboratory Technician,3,3,3,2,2,4,Exceed Expectation
Main labor group,Female,Single,2,Life Sciences,Manager R&D,4,4,3,10,7,3,Meet Expectation
Main labor group,Female,Divorced,3,Technical Degree,Manufacturing Director,3,3,3,17,7,5,Outstanding
Main labor group,Male,Married,3,Medical,Research Scientist,1,2,3,15,10,2,Needs Improvement
